farm_id,state,farm_size,contract_type,sale_type,chick_count,feed_consumed_kg,mortality_count,contract_duration,price_per_bird_inr,total_revenue,total_cost,estimated_profit,mortality_rate,feed_efficiency,revenue_per_bird,profit_per_bird,duration_efficiency,risk_label,farm_score,approval
F0024,Sikkim,Small,Broiler,Export,6921,22488.2,445,169,203.25,1361418.02,1048728.0,279758.63,0.0643,3.2493,196.71,40.42,1655.38,Low,66.9,Approve
F0025,Maharashtra,Medium,Broiler,Wholesale,10594,33361.2,1077,51,213.09,2142708.7,1359698.67,786046.2,0.1017,3.1491,202.26,74.2,15412.67,Low,72.1,Approve
F0026,Bihar,Medium,Breeder,Export,7748,28056.8,564,119,224.02,1672435.65,1168562.84,517782.21,0.0728,3.6212,215.85,66.83,4351.11,Low,64.6,Approve
F0027,Telangana,Small,Broiler,Wholesale,4464,14537.0,443,107,203.69,864118.96,627929.2,218054.62,0.0992,3.2565,193.58,48.85,2037.89,Low,63.9,Approve
F0028,Punjab,Medium,Layer,Wholesale,13208,43436.9,1709,169,203.02,2507987.61,2012838.82,591668.86,0.1294,3.2887,189.88,44.8,3501.0,Medium,58.0,Revise
F0029,Bihar,Medium,Broiler,Wholesale,10486,41068.3,725,143,258.64,2618262.92,1694380.02,1051865.37,0.0691,3.9165,249.69,100.31,7355.7,Low,67.3,Approve
F0030,Sikkim,Small,Broiler,Export,3689,16403.2,822,97,183.35,600980.65,608935.16,-22647.45,0.2228,4.4465,162.91,-6.14,-233.48,High,8.4,Reject
F0031,Himachal Pradesh,Medium,Broiler,Wholesale,10020,38338.4,842,139,259.12,2487208.41,1592050.13,931610.84,0.084,3.8262,248.22,92.98,6702.24,Low,65.4,Approve
F0032,West Bengal,Small,Layer,Retail,6590,19314.4,453,154,183.82,1169663.18,934836.36,180582.0,0.0687,2.9309,177.49,27.4,1172.61,Low,69.5,Approve
F0033,Bihar,Small,Layer,Export,6141,17983.9,1920,170,203.07,1052047.93,888290.47,193414.78,0.3127,2.9285,171.32,31.5,1137.73,High,45.2,Reject
F0034,Punjab,Large,Broiler,Retail,17058,75352.3,3287,86,219.5,3383314.32,2771448.47,651251.53,0.1927,4.4174,198.34,38.18,7572.69,High,24.3,Reject
F0035,Himachal Pradesh,Large,Layer,Wholesale,13266,43849.4,1916,84,191.46,2356454.62,1826092.4,487481.74,0.1444,3.3054,177.63,36.75,5803.35,Medium,53.6,Revise
F0036,West Bengal,Large,Broiler,Export,15003,44356.6,368,111,190.79,2827242.64,2022054.4,851828.19,0.0245,2.9565,188.45,56.78,7674.13,Low,82.5,Approve
F0037,Gujarat,Small,Breeder,Export,3671,14017.3,802,136,200.51,655645.25,580687.22,94393.17,0.2185,3.8184,178.6,25.71,694.07,High,29.9,Reject
F0038,Arunachal Pradesh,Small,Layer,Wholesale,6831,26369.0,978,131,257.88,1635354.76,1080754.4,655206.39,0.1432,3.8602,239.4,95.92,5001.58,Medium,57.1,Revise
F0039,Uttarakhand,Medium,Layer,Retail,12548,48968.0,321,176,210.41,2606430.6,2097308.98,560922.11,0.0256,3.9025,207.72,44.7,3187.06,Low,59.9,Approve
F0040,Gujarat,Medium,Layer,Export,8342,27149.7,1325,140,225.28,1730027.44,1222016.51,584859.65,0.1588,3.2546,207.39,70.11,4177.57,Medium,60.9,Revise
F0041,Himachal Pradesh,Small,Broiler,Export,4495,12701.5,233,136,236.34,1034776.52,612862.11,520469.39,0.0518,2.8257,230.21,115.79,3826.98,Low,92.2,Approve
F0042,Karnataka,Medium,Layer,Wholesale,13452,59734.0,2677,131,239.38,2899651.47,2300030.13,449714.32,0.199,4.4405,215.56,33.43,3432.93,High,21.7,Reject
F0043,Uttarakhand,Small,Broiler,Retail,3943,12722.2,900,32,235.04,820928.35,499469.69,369537.26,0.2283,3.2265,208.2,93.72,11548.04,High,57.7,Reject
F0044,Tamil Nadu,Large,Broiler,Wholesale,15738,62153.2,1766,177,206.95,3074224.0,2649492.8,289596.22,0.1122,3.9492,195.34,18.4,1636.14,Medium,40.2,Revise
F0045,Arunachal Pradesh,Small,Broiler,Wholesale,6988,27960.9,385,54,188.94,1283859.43,1031624.6,206436.32,0.0551,4.0013,183.72,29.54,3822.89,Low,49.9,Approve
F0046,Uttar Pradesh,Medium,Broiler,Wholesale,8898,34141.7,1199,104,202.54,1680677.57,1360531.53,319154.47,0.1347,3.837,188.88,35.87,3068.79,Medium,43.8,Revise
F0047,Gujarat,Small,Broiler,Wholesale,6737,22447.3,225,90,196.82,1303800.26,938482.6,323202.9,0.0334,3.3319,193.53,47.97,3591.14,Low,71.4,Approve
F0048,Punjab,Medium,Broiler,Retail,11078,36123.8,1420,152,190.9,1979269.91,1647975.78,250813.84,0.1282,3.2609,178.67,22.64,1650.09,Medium,53.2,Revise
F0049,Bihar,Medium,Broiler,Retail,13918,53111.6,1071,84,181.96,2435014.55,2072197.33,355462.89,0.077,3.816,174.95,25.54,4231.7,Low,49.7,Approve
F0050,Bihar,Small,Broiler,Wholesale,3895,16640.9,360,68,254.86,946723.8,607936.02,323013.04,0.0924,4.2724,243.06,82.93,4750.19,Low,52.5,Approve
F0051,Andhra Pradesh,Large,Layer,Wholesale,15567,68641.9,638,112,253.68,3868138.71,2598428.07,1141036.48,0.041,4.4094,248.48,73.3,10187.83,Low,54.5,Approve
F0052,Uttarakhand,Medium,Broiler,Wholesale,8672,25842.9,475,63,184.03,1552142.2,1099270.2,378942.22,0.0548,2.98,178.98,43.7,6014.96,Low,74.5,Approve
F0053,Uttarakhand,Large,Layer,Export,9492,29076.0,1024,142,193.85,1740666.05,1353892.27,510809.23,0.1079,3.0632,183.38,53.81,3597.25,Low,67.9,Approve
F0054,Uttarakhand,Large,Broiler,Export,16083,70862.5,2161,179,191.16,2867834.52,2874921.8,-179186.07,0.1344,4.406,178.31,-11.14,-1001.04,High,20.3,Reject
F0055,Sikkim,Medium,Broiler,Wholesale,10136,41072.2,795,56,202.5,1971961.85,1511297.91,444131.05,0.0784,4.0521,194.55,43.82,7930.91,Low,49.2,Approve
F0056,Punjab,Large,Broiler,Export,12315,52967.9,642,178,196.33,2354670.91,2170745.13,315542.78,0.0521,4.3011,191.2,25.62,1772.71,Low,43.2,Approve
F0057,Maharashtra,Small,Broiler,Wholesale,6652,20917.1,1207,60,255.67,1546319.89,863730.87,745179.98,0.1814,3.1445,232.46,112.02,12419.67,High,67.5,Reject
F0058,Uttarakhand,Small,Layer,Retail,6202,23560.8,460,166,186.73,1115093.14,1011465.51,116658.33,0.0742,3.7989,179.8,18.81,702.76,Low,48.7,Approve
F0059,Telangana,Small,Layer,Export,6670,26626.2,534,112,196.93,1260902.66,1052083.51,169501.56,0.0801,3.9919,189.04,25.41,1513.41,Low,45.6,Approve
F0060,Arunachal Pradesh,Small,Broiler,Wholesale,4753,18803.8,298,39,186.46,858445.79,684287.73,173353.09,0.0627,3.9562,180.61,36.47,4444.95,Low,51.5,Approve
F0061,Tamil Nadu,Small,Broiler,Retail,6031,21071.5,391,69,258.43,1508011.06,839103.27,584152.26,0.0648,3.4939,250.04,96.86,8465.97,Low,75.9,Approve
F0062,Uttarakhand,Small,Layer,Wholesale,5352,15125.7,641,83,253.47,1275289.55,679337.13,577770.96,0.1198,2.8262,238.28,107.95,6961.1,Low,82.7,Approve
F0063,Telangana,Large,Broiler,Wholesale,14814,56159.5,1120,164,237.33,3382816.13,2408119.4,923909.19,0.0756,3.791,228.35,62.37,5633.59,Low,59.6,Approve
F0064,Sikkim,Small,Broiler,Retail,3370,10886.0,597,33,214.08,657436.46,427762.67,222977.7,0.1772,3.2303,195.09,66.17,6756.9,Medium,57.9,Revise
F0065,Telangana,Small,Layer,Export,4880,17399.3,226,172,195.21,930528.4,776004.16,117860.97,0.0463,3.5654,190.68,24.15,685.24,Low,58.8,Approve
F0066,Uttar Pradesh,Medium,Broiler,Wholesale,7704,34112.4,913,35,197.72,1432886.49,1183608.8,127777.44,0.1185,4.4279,185.99,16.59,3650.78,Medium,29.0,Revise
F0067,Uttar Pradesh,Small,Breeder,Export,3383,11767.3,111,102,215.44,716830.92,489375.67,272323.61,0.0328,3.4784,211.89,80.5,2669.84,Low,76.6,Approve
F0068,Telangana,Large,Layer,Export,14793,62539.8,698,87,241.46,3487615.56,2344324.0,1322863.58,0.0472,4.2277,235.76,89.42,15205.33,Low,61.4,Approve
F0069,Karnataka,Small,Broiler,Wholesale,5492,17137.9,9,106,201.18,1103865.76,755127.49,397013.32,0.0016,3.1205,201.0,72.29,3745.41,Low,86.2,Approve
F0070,Punjab,Large,Broiler,Wholesale,10272,40504.4,490,48,204.86,2054152.0,1492351.2,600667.33,0.0477,3.9432,199.98,58.48,12513.9,Low,59.4,Approve
F0071,Tamil Nadu,Medium,Broiler,Retail,10416,46464.9,134,91,228.0,2359428.78,1711535.53,667991.16,0.0129,4.4609,226.52,64.13,7340.56,Low,55.0,Approve
F0072,Sikkim,Small,Broiler,Retail,6249,18579.6,534,100,199.02,1190453.11,832294.53,316868.58,0.0855,2.9732,190.5,50.71,3168.69,Low,72.1,Approve
F0073,Bihar,Small,Breeder,Wholesale,3628,10209.7,201,167,226.74,799804.53,513724.69,262612.52,0.0554,2.8141,220.45,72.38,1572.53,Low,85.0,Approve
F0074,Andhra Pradesh,Large,Layer,Export,20337,71933.8,288,54,210.97,4260044.59,2794628.8,1775409.75,0.0142,3.5371,209.47,87.3,32877.96,Low,79.7,Approve
F0075,Tamil Nadu,Medium,Broiler,Retail,7788,23032.7,946,156,182.75,1336803.74,1112106.6,337182.99,0.1215,2.9575,171.65,43.3,2161.43,Medium,65.6,Revise
F0076,Telangana,Medium,Broiler,Wholesale,11074,45096.1,1779,87,212.22,2161253.57,1717092.07,424196.56,0.1606,4.0723,195.16,38.31,4875.82,Medium,35.9,Revise
F0077,Maharashtra,Medium,Broiler,Retail,12128,52814.2,3112,149,253.56,2680590.04,2089569.64,591524.9,0.2566,4.3547,221.02,48.77,3969.97,High,20.2,Reject
F0078,Himachal Pradesh,Small,Broiler,Wholesale,5374,19012.3,120,140,203.45,1081108.22,820723.49,299970.67,0.0223,3.5378,201.17,55.82,2142.65,Low,70.6,Approve
F0079,Odisha,Small,Layer,Wholesale,3597,11653.6,334,105,205.83,705956.41,503373.2,205882.38,0.0929,3.2398,196.26,57.24,1960.78,Low,67.2,Approve
F0080,Arunachal Pradesh,Small,Layer,Export,6062,21450.3,787,99,185.28,1050208.91,881697.8,177387.19,0.1298,3.5385,173.24,29.26,1791.79,Medium,48.9,Revise
F0081,Maharashtra,Large,Broiler,Export,16008,64510.0,2524,167,229.2,3379797.55,2694879.73,674812.35,0.1577,4.0299,211.13,42.15,4040.79,Medium,38.1,Revise
F0082,Arunachal Pradesh,Medium,Broiler,Wholesale,7184,20225.8,585,95,247.94,1708585.49,925497.38,702969.47,0.0814,2.8154,237.83,97.85,7399.68,Low,87.7,Approve
F0083,Punjab,Small,Layer,Retail,4687,17820.3,461,149,208.23,927912.33,750550.02,160056.17,0.0984,3.8021,197.98,34.15,1074.2,Low,49.1,Approve
F0084,Uttarakhand,Small,Broiler,Retail,6644,25530.2,980,116,199.22,1225920.92,1030878.44,186849.27,0.1475,3.8426,184.52,28.12,1610.77,Medium,39.9,Revise
F0085,Odisha,Small,Layer,Wholesale,3572,13873.9,586,168,256.53,841056.51,590509.53,144569.62,0.1641,3.8841,235.46,40.47,860.53,Medium,39.8,Revise
F0086,Bihar,Small,Broiler,Wholesale,6425,20633.5,565,151,239.61,1471695.22,947662.56,530472.3,0.0879,3.2114,229.06,82.56,3513.06,Low,74.9,Approve
F0087,Karnataka,Medium,Layer,Retail,10150,40741.0,106,78,225.37,2275591.64,1544548.67,995303.55,0.0104,4.0139,224.2,98.06,12760.3,Low,73.1,Approve
F0088,Karnataka,Medium,Layer,Retail,12002,35470.3,910,77,204.44,2360605.01,1544740.64,765185.83,0.0758,2.9554,196.68,63.75,9937.48,Low,77.1,Approve
F0089,West Bengal,Large,Layer,Wholesale,15270,47928.9,2169,144,197.66,2803933.64,2208847.8,599730.02,0.142,3.1388,183.62,39.28,4164.79,Medium,58.0,Revise
F0090,Sikkim,Medium,Breeder,Wholesale,9408,40376.3,548,116,237.26,2167062.25,1552692.47,523300.51,0.0582,4.2917,230.34,55.62,4511.21,Low,50.0,Approve
F0091,Uttar Pradesh,Small,Breeder,Wholesale,5470,22185.4,720,36,221.74,1133098.92,796586.8,274537.31,0.1316,4.0558,207.15,50.19,7626.04,Medium,43.3,Revise
F0092,Karnataka,Medium,Layer,Wholesale,13338,37658.1,303,106,221.65,2922719.25,1746725.4,1130678.3,0.0227,2.8234,219.13,84.77,10666.78,Low,92.5,Approve
F0093,Karnataka,Medium,Breeder,Retail,6352,20467.7,1516,174,185.9,1039899.08,964377.93,108267.21,0.2387,3.2222,163.71,17.04,622.23,High,37.1,Reject
F0094,Karnataka,Medium,Layer,Wholesale,7056,22328.6,320,150,220.98,1523822.3,1032189.2,473823.17,0.0454,3.1645,215.96,67.15,3158.82,Low,77.9,Approve
F0095,Karnataka,Medium,Layer,Wholesale,9266,30210.6,301,153,245.82,2240726.92,1379968.4,818848.27,0.0325,3.2604,241.82,88.37,5351.95,Low,83.1,Approve
F0096,Tamil Nadu,Medium,Broiler,Export,7930,25541.4,354,179,255.74,1982752.69,1210761.02,821123.85,0.0446,3.2209,250.03,103.55,4587.28,Low,85.1,Approve
F0097,Karnataka,Medium,Broiler,Wholesale,9034,26255.5,1196,170,188.53,1590442.97,1302348.56,304006.56,0.1324,2.9063,176.05,33.65,1788.27,Medium,62.7,Revise
F0098,Karnataka,Medium,Layer,Wholesale,6394,22891.8,325,154,230.49,1436285.51,998373.11,457968.25,0.0508,3.5802,224.63,71.62,2973.82,Low,69.7,Approve
F0099,Uttarakhand,Small,Broiler,Export,5657,22886.2,583,41,225.47,1209667.89,827579.64,454081.29,0.1031,4.0456,213.84,80.27,11075.15,Low,55.0,Approve
F0100,Uttar Pradesh,Small,Layer,Retail,6648,25471.4,1456,100,251.22,1487249.87,1010957.47,555461.26,0.219,3.8314,223.71,83.55,5554.61,High,44.0,Reject
F0101,Karnataka,Small,Broiler,Retail,5889,23225.5,261,30,240.1,1382543.88,836819.0,649121.19,0.0443,3.9439,234.77,110.23,21637.37,Low,70.2,Approve
F0102,Bihar,Medium,Broiler,Wholesale,7704,22634.0,1308,148,257.22,1813358.75,1085848.8,617545.01,0.1698,2.938,235.38,80.16,4172.6,Medium,68.4,Revise
F0103,Odisha,Small,Layer,Wholesale,6588,29102.7,889,171,256.8,1577620.87,1169934.6,475307.48,0.1349,4.4175,239.47,72.15,2779.58,Medium,40.9,Revise
F0104,Punjab,Medium,Breeder,Retail,9074,38341.6,93,140,198.05,1787911.55,1523056.98,411983.87,0.0102,4.2254,197.04,45.4,2942.74,Low,55.6,Approve
F0105,Andhra Pradesh,Large,Broiler,Retail,15207,63392.7,3074,93,238.03,3253808.08,2406411.8,581778.81,0.2021,4.1687,213.97,38.26,6255.69,High,28.1,Reject
F0106,Tamil Nadu,Small,Layer,Wholesale,6183,25962.9,739,72,222.44,1293062.83,959476.2,332287.46,0.1195,4.1991,209.13,53.74,4615.1,Low,42.9,Approve
F0107,Maharashtra,Medium,Layer,Wholesale,8160,35786.6,80,70,197.17,1600966.89,1296851.87,260627.37,0.0098,4.3856,196.2,31.94,3723.25,Low,49.0,Approve
F0108,Gujarat,Medium,Broiler,Export,12274,45723.5,1193,144,195.59,2283989.69,1933831.4,347379.22,0.0972,3.7252,186.08,28.3,2412.36,Low,49.4,Approve
F0109,Uttar Pradesh,Small,Broiler,Wholesale,5889,18494.3,646,68,186.49,1037892.87,772516.07,324898.83,0.1097,3.1405,176.24,55.17,4777.92,Low,66.4,Approve
F0110,Odisha,Small,Broiler,Wholesale,3097,11918.9,251,30,243.64,723914.58,433583.13,239811.78,0.081,3.8485,233.75,77.43,7993.73,Low,61.4,Approve
F0111,Andhra Pradesh,Small,Broiler,Wholesale,6215,25250.9,354,70,205.96,1243566.16,943612.02,315187.05,0.057,4.0629,200.09,50.71,4502.67,Low,53.7,Approve
F0112,Karnataka,Small,Broiler,Retail,4903,19879.0,86,117,248.56,1207938.15,784470.4,389366.72,0.0175,4.0545,246.37,79.41,3327.92,Low,66.6,Approve
F0113,Andhra Pradesh,Large,Broiler,Retail,10302,37977.9,1430,127,228.67,2192198.37,1583210.07,738069.51,0.1388,3.6865,212.79,71.64,5811.57,Medium,55.2,Revise
F0114,Telangana,Large,Broiler,Retail,10908,31811.9,38,117,233.89,2546826.63,1472148.2,1128280.78,0.0035,2.9164,233.48,103.44,9643.43,Low,97.1,Approve
F0115,Gujarat,Medium,Layer,Wholesale,13500,46317.0,1249,108,203.33,2618015.39,1953174.0,644192.24,0.0925,3.4309,193.93,47.72,5964.74,Low,61.0,Approve
F0116,Uttar Pradesh,Large,Broiler,Wholesale,18471,80631.5,1084,170,216.58,3883108.13,3255677.67,488004.17,0.0587,4.3653,210.23,26.42,2870.61,Low,41.2,Approve
F0117,Karnataka,Large,Layer,Wholesale,10761,40822.5,906,100,212.99,2195399.31,1627451.67,859707.64,0.0842,3.7936,204.01,79.89,8597.08,Low,62.7,Approve
F0118,Sikkim,Small,Broiler,Retail,3343,12419.8,401,166,198.86,624803.98,539041.24,94506.51,0.12,3.7152,186.9,28.27,569.32,Low,46.4,Approve
F0119,Arunachal Pradesh,Large,Layer,Retail,12951,42182.1,665,128,246.6,3111721.73,1870263.4,1020533.17,0.0513,3.2571,240.27,78.8,7972.92,Low,78.1,Approve
F0120,Gujarat,Medium,Layer,Export,9958,34119.7,1365,116,229.77,2131126.61,1453889.49,590847.42,0.1371,3.4264,214.01,59.33,5093.51,Medium,57.7,Revise
F0121,Karnataka,Large,Broiler,Wholesale,10710,46289.6,1021,30,182.99,1866442.2,1610991.2,293957.13,0.0953,4.3221,174.27,27.45,9798.57,Low,37.2,Approve
F0122,Telangana,Large,Breeder,Retail,20163,79300.8,1325,171,245.59,4789187.3,3365722.8,1248652.87,0.0657,3.933,237.52,61.93,7302.06,Low,58.0,Approve
F0123,Bihar,Small,Layer,Retail,3610,14940.2,369,141,188.48,645565.74,599675.07,26297.49,0.1022,4.1386,178.83,7.28,186.51,Medium,35.0,Revise
F0124,Himachal Pradesh,Small,Layer,Wholesale,4727,16886.7,310,103,212.3,970601.8,694414.02,324034.84,0.0656,3.5724,205.33,68.55,3145.97,Low,67.1,Approve
F0125,Telangana,Small,Layer,Wholesale,5290,20479.8,844,94,225.7,1098626.25,803457.38,344464.77,0.1595,3.8714,207.68,65.12,3664.52,Medium,46.9,Revise
F0126,Bihar,Medium,Broiler,Retail,9708,31281.6,1092,98,180.61,1654735.82,1342730.13,264745.85,0.1125,3.2222,170.45,27.27,2701.49,Low,57.4,Approve
F0127,Bihar,Large,Broiler,Export,16824,67283.9,2521,96,232.23,3614287.75,2608575.4,1217302.73,0.1498,3.9993,214.83,72.36,12680.24,Medium,47.4,Revise
F0128,Odisha,Large,Broiler,Wholesale,11877,41889.3,1554,79,232.78,2583750.09,1682220.47,809726.97,0.1308,3.5269,217.54,68.18,10249.71,Medium,58.8,Revise
F0129,Arunachal Pradesh,Small,Broiler,Export,5079,18042.3,131,87,232.2,1164045.51,729435.8,533177.66,0.0258,3.5523,229.19,104.98,6128.48,Low,80.9,Approve
F0130,Andhra Pradesh,Medium,Broiler,Retail,10876,42458.3,523,82,193.08,2049364.22,1636430.51,468015.07,0.0481,3.9039,188.43,43.03,5707.5,Low,56.3,Approve
F0131,Uttar Pradesh,Medium,Layer,Wholesale,10648,46762.6,637,120,200.46,2070578.85,1788334.53,312286.52,0.0598,4.3917,194.46,29.33,2602.39,Low,41.2,Approve
F0132,Karnataka,Small,Broiler,Wholesale,3531,10271.0,378,144,199.79,667617.89,492905.6,161867.21,0.1071,2.9088,189.07,45.84,1124.08,Low,69.2,Approve
F0133,Gujarat,Small,Breeder,Wholesale,4177,17552.0,58,147,256.81,1065161.8,704152.93,328593.24,0.0139,4.2021,255.01,78.67,2235.33,Low,63.9,Approve
F0134,Tamil Nadu,Small,Broiler,Wholesale,5430,17903.0,474,86,185.4,962760.95,748384.67,102383.19,0.0873,3.2971,177.3,18.86,1190.5,Low,57.3,Approve
F0135,Uttarakhand,Large,Broiler,Wholesale,12273,43626.4,1975,115,214.3,2418389.14,1824345.47,558475.73,0.1609,3.5547,197.05,45.5,4856.31,Medium,48.3,Revise
F0136,Gujarat,Small,Broiler,Wholesale,4901,13905.4,837,47,249.7,1119213.94,591919.38,526707.23,0.1708,2.8373,228.36,107.47,11206.54,Medium,75.3,Revise
F0137,Tamil Nadu,Medium,Broiler,Export,7766,25719.3,133,45,241.56,1859869.57,1016252.6,673801.44,0.0171,3.3118,239.49,86.76,14973.37,Low,83.8,Approve
F0138,Andhra Pradesh,Medium,Breeder,Retail,10522,38452.4,1289,159,245.8,2427780.69,1669474.67,858255.8,0.1225,3.6545,230.73,81.57,5397.84,Medium,60.6,Revise
F0139,Karnataka,Small,Layer,Retail,4678,13545.1,335,42,257.78,1162603.9,566821.27,586460.21,0.0716,2.8955,248.53,125.37,13963.34,Low,88.0,Approve
F0140,Arunachal Pradesh,Large,Broiler,Wholesale,16269,59135.6,2185,109,210.98,3201931.5,2429690.27,966712.48,0.1343,3.6349,196.81,59.42,8868.92,Medium,53.9,Revise
F0141,Tamil Nadu,Large,Breeder,Wholesale,17373,76025.8,1430,72,204.77,3411090.93,2763592.0,530897.54,0.0823,4.3761,196.34,30.56,7373.58,Low,38.7,Approve
F0142,Tamil Nadu,Small,Layer,Wholesale,5260,15670.4,691,83,182.45,896622.5,685363.02,266689.62,0.1314,2.9792,170.46,50.7,3213.13,Medium,65.6,Revise
F0143,Gujarat,Medium,Broiler,Export,10252,42028.6,526,166,192.0,1917843.35,1739777.11,135007.7,0.0513,4.0996,187.07,13.17,813.3,Medium,44.4,Revise
F0144,Bihar,Small,Layer,Wholesale,4749,16604.6,134,102,224.96,1053197.94,688866.4,361683.53,0.0282,3.4964,221.77,76.16,3545.92,Low,75.8,Approve
F0145,West Bengal,Small,Layer,Wholesale,5675,22210.8,687,77,192.61,1026865.69,850072.04,187864.04,0.1211,3.9138,180.95,33.1,2439.79,Medium,43.4,Revise
F0146,Karnataka,Small,Broiler,Retail,5651,18322.8,728,47,238.9,1263040.25,732868.84,527540.38,0.1288,3.2424,223.51,93.35,11224.26,Medium,71.2,Revise
F0147,Gujarat,Medium,Layer,Retail,7562,23223.9,1043,40,182.98,1288232.42,942800.02,365036.51,0.1379,3.0711,170.36,48.27,9125.91,Medium,62.2,Revise
F0148,Himachal Pradesh,Medium,Broiler,Retail,13988,42982.1,1477,113,200.76,2659881.32,1926009.58,477918.22,0.1056,3.0728,190.15,34.17,4229.36,Low,63.1,Approve
F0149,Maharashtra,Small,Broiler,Wholesale,6452,18838.8,245,48,235.64,1491387.57,792110.67,688882.85,0.038,2.9198,231.15,106.77,14351.73,Low,92.2,Approve
F0150,Himachal Pradesh,Small,Broiler,Wholesale,6048,18843.1,161,129,200.44,1196113.27,855649.0,335654.58,0.0266,3.1156,197.77,55.5,2601.97,Low,78.7,Approve
F0151,Karnataka,Large,Breeder,Retail,17181,67507.1,1652,145,238.3,3897356.51,2787094.2,723161.1,0.0962,3.9292,226.84,42.09,4987.32,Low,48.8,Approve
